Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ftxytxytxt,Chrome 120.0.0.0,,,18-12-2023 22:23:53,18-12-2023 22:24:49,"56,511s",PASSED
,,,,,,,
Test Cases/SearchProductWithCsvDataFile,Chrome 120.0.0.0,,,18-12-2023 22:23:53,18-12-2023 22:24:13,"20,054s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,18-12-2023 22:23:53,18-12-2023 22:24:00,"6,994s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/a_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:00,18-12-2023 22:24:01,"0,771s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_email""), ""nishapathak77@gmail.com"")",Chrome 120.0.0.0,,,18-12-2023 22:24:01,18-12-2023 22:24:04,"2,914s",PASSED
"setEncryptedText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_password""), ""60coEWBzUaguqMoMXWkjBQ=="")",Chrome 120.0.0.0,,,18-12-2023 22:24:04,18-12-2023 22:24:05,"1,357s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/button_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:05,18-12-2023 22:24:06,"0,823s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), SearchKeyword)",Chrome 120.0.0.0,,,18-12-2023 22:24:06,18-12-2023 22:24:09,"3,249s",PASSED
"sendKeys(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,18-12-2023 22:24:09,18-12-2023 22:24:13,"3,369s",PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,18-12-2023 22:24:13,18-12-2023 22:24:13,"0,183s",PASSED
,,,,,,,
Test Cases/SearchProductWithCsvDataFile,Chrome 120.0.0.0,,,18-12-2023 22:24:13,18-12-2023 22:24:31,"18,062s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,18-12-2023 22:24:13,18-12-2023 22:24:19,"5,560s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/a_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:19,18-12-2023 22:24:20,"1,446s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_email""), ""nishapathak77@gmail.com"")",Chrome 120.0.0.0,,,18-12-2023 22:24:20,18-12-2023 22:24:22,"2,290s",PASSED
"setEncryptedText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_password""), ""60coEWBzUaguqMoMXWkjBQ=="")",Chrome 120.0.0.0,,,18-12-2023 22:24:22,18-12-2023 22:24:24,"1,598s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/button_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:24,18-12-2023 22:24:25,"0,833s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), SearchKeyword)",Chrome 120.0.0.0,,,18-12-2023 22:24:25,18-12-2023 22:24:28,"3,281s",PASSED
"sendKeys(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,18-12-2023 22:24:28,18-12-2023 22:24:31,"2,770s",PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,18-12-2023 22:24:31,18-12-2023 22:24:31,"0,232s",PASSED
,,,,,,,
Test Cases/SearchProductWithCsvDataFile,Chrome 120.0.0.0,,,18-12-2023 22:24:31,18-12-2023 22:24:49,"17,909s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,18-12-2023 22:24:31,18-12-2023 22:24:37,"5,517s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/a_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:37,18-12-2023 22:24:39,"1,827s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_email""), ""nishapathak77@gmail.com"")",Chrome 120.0.0.0,,,18-12-2023 22:24:39,18-12-2023 22:24:41,"2,412s",PASSED
"setEncryptedText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_password""), ""60coEWBzUaguqMoMXWkjBQ=="")",Chrome 120.0.0.0,,,18-12-2023 22:24:41,18-12-2023 22:24:42,"0,953s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/button_Login""))",Chrome 120.0.0.0,,,18-12-2023 22:24:42,18-12-2023 22:24:43,"0,781s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), SearchKeyword)",Chrome 120.0.0.0,,,18-12-2023 22:24:43,18-12-2023 22:24:46,"3,169s",PASSED
"sendKeys(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,18-12-2023 22:24:46,18-12-2023 22:24:49,"2,918s",PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,18-12-2023 22:24:49,18-12-2023 22:24:49,"0,303s",PASSED
