Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SearchProductTestSuite,Chrome 120.0.0.0,,,19-12-2023 08:40:09,19-12-2023 08:40:57,"47,979s",PASSED
,,,,,,,
Test Cases/SearchProduct/SearchProductWithCsvDataFile,Chrome 120.0.0.0,,,19-12-2023 08:40:09,19-12-2023 08:40:25,"15,822s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,19-12-2023 08:40:09,19-12-2023 08:40:16,"6,168s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/a_Login""))",Chrome 120.0.0.0,,,19-12-2023 08:40:16,19-12-2023 08:40:17,"1,150s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_email""), ""nishapathak77@gmail.com"")",Chrome 120.0.0.0,,,19-12-2023 08:40:17,19-12-2023 08:40:19,"2,150s",PASSED
"setEncryptedText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_password""), ""60coEWBzUaguqMoMXWkjBQ=="")",Chrome 120.0.0.0,,,19-12-2023 08:40:19,19-12-2023 08:40:20,"0,542s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/button_Login""))",Chrome 120.0.0.0,,,19-12-2023 08:40:20,19-12-2023 08:40:20,"0,538s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), SearchKeyword)",Chrome 120.0.0.0,,,19-12-2023 08:40:20,19-12-2023 08:40:23,"2,592s",PASSED
"sendKeys(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_search""), Keys.chord(ENTER))",Chrome 120.0.0.0,,,19-12-2023 08:40:23,19-12-2023 08:40:25,"2,286s",PASSED
Start listener action : sampleAfterTestCase,Chrome 120.0.0.0,,,19-12-2023 08:40:25,19-12-2023 08:40:25,"0,189s",PASSED
,,,,,,,
Test Cases/SearchProduct/SearchProductWithInvalidKeyword,Chrome 120.0.0.0,,,19-12-2023 08:40:25,19-12-2023 08:40:41,"16,112s",PASSED
Start listener action : sampleBeforeTestCase,Chrome 120.0.0.0,,,19-12-2023 08:40:25,19-12-2023 08:40:31,"5,379s",PASSED
"click(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/a_Login""))",Chrome 120.0.0.0,,,19-12-2023 08:40:31,19-12-2023 08:40:32,"1,164s",PASSED
"setText(findTestObject(""Object Repository/SearchValidProduct/Page_Takealot.com Online Shopping  SAs lead_9e0650/input_email""), ""nishapathak77@gmail.com"")",Chrome 120.0.0.0,,,19-12-2023 08:40:32,19-12-2023 08:40:34,"2,030s",PASSED
